prop,propLabel,count,total humans with ID,SDBM is % of total,Reviewer(s),Query,Thoughts
http://www.wikidata.org/entity/P5392,"""Poetry Archive poet ID""@en",12,509,2.36,,,
http://www.wikidata.org/entity/P6702,"""Shanghai Library person ID""@en",2,85,2.35,,,
http://www.wikidata.org/entity/P5375,"""BIU Santé person ID""@en",270,11511,2.35,,,
http://www.wikidata.org/entity/P9337,"""Keratsini-Drapetsona libraries' catalogue authority ID""@en",11,470,2.34,,,
http://www.wikidata.org/entity/P6488,"""Enciclopedia delle donne ID""@en",35,1496,2.34,,,
http://www.wikidata.org/entity/P10776,"""HeHaCham HaYomi ID""@en",12,513,2.34,,,
http://www.wikidata.org/entity/P6868,"""Hoopla artist ID""@en",132,5647,2.34,,,
http://www.wikidata.org/entity/P5504,"""RISM ID""@en",621,26624,2.33,,,
http://www.wikidata.org/entity/P3410,"""Clergy of the Church of England database ID""@en",48,2073,2.32,,,
http://www.wikidata.org/entity/P9049,"""ICCD agent ID""@en",207,9073,2.28,,,
http://www.wikidata.org/entity/P10106,"""Sceneweb organization ID""@en",1,44,2.27,,,
http://www.wikidata.org/entity/P1816,"""National Portrait Gallery (London) person ID""@en",1039,45742,2.27,,,
http://www.wikidata.org/entity/P5101,"""Swedish Literature Bank Author ID""@en",65,2870,2.26,,,
http://www.wikidata.org/entity/P4169,"""YCBA agent ID""@en",76,3369,2.26,,,
http://www.wikidata.org/entity/P6784,"""Harper's author ID""@en",3,133,2.26,,,
http://www.wikidata.org/entity/P10252,"""Digital Mechanism and Gear Library ID""@en",22,977,2.25,,,
http://www.wikidata.org/entity/P1185,"""Rodovid ID""@en",428,19051,2.25,,,
http://www.wikidata.org/entity/P8759,"""Polski Słownik Judaistyczny ID""@en",20,900,2.22,,,
http://www.wikidata.org/entity/P5839,"""Académie de Marseille member ID""@en",3,135,2.22,,,
http://www.wikidata.org/entity/P5271,"""Saint Louis Art Museum person ID""@en",66,2997,2.20,,,
